gcontig pos_gcontig XTX_rank
C11475867 54 273.08
C11475867 65 276.01
C11475867 73 293.43
C11475867 97 265.71
C11475867 108 4619.9
C11475867 122 4252.2
C11475867 129 454.06
C11475867 130 6751.6
C11475867 165 760.31
C11581753 103 277.24
C11609967 114 326.2
C11696837 77 328.92
C11696837 80 295.79
C11696837 85 401.34
C11696837 95 390.02
C11696837 104 262.49
C11696837 105 269.97
C11696837 109 298.08
C11696837 111 340.29
C11696837 119 346.55
C11696837 135 276.5
C11697303 21 270.78
C11697303 32 1800.2
C11697303 39 1085.1
C11697303 51 290.4
C11697303 76 272.58
C11697303 84 334.21
C11697303 95 1287.8
C11697303 146 293.4
C11697303 148 290.77
C11697303 149 408.16
C11697303 153 344.4
C11697303 155 1613.5
C11697303 160 1415.7
C11697303 167 311.12
C11700411 77 480.29
C11700411 82 317.97
C11700411 83 1008.7
C11700411 86 528.95
C11700411 88 284.14
C11700411 104 317.21
C11700411 112 311.25
C11700411 115 354.97
C11700411 121 781.82
C11700411 128 275.9
C11700411 141 343.67
C11700411 145 571.98
C11700411 149 776.07
C11703583 8 2993.7
C11703583 24 283.81
C11703583 76 275.36
C11703583 77 412.43
C11703583 79 257.24
C11703583 97 277.37
C11703583 106 345.2
C11703583 139 288.46
C11703583 141 407.04
C11703583 153 274.07
C11705109 29 284.97
C11705109 41 278.76
C11705109 47 313.54
C11705109 70 1401.2
C11705109 81 294.04
C11705109 82 267.87
C11705109 86 275.91
C11705109 89 288.18
C11705109 95 281.95
C11705109 96 456.83
C11705109 102 288.44
C11705109 103 1051.9
C11705109 109 265.59
C11860999 25 275.35
C11860999 31 294.21
C11860999 32 297.86
C11860999 36 297.52
C11860999 37 507.23
C11860999 42 322.72
C11860999 46 318.34
C11860999 54 337.87
C11860999 57 275.84
C11860999 60 287.81
C11860999 73 284.05
C11860999 79 325.53
C11860999 84 557.42
C11860999 85 288.04
C11860999 96 281.43
C11860999 111 325.3
C11860999 115 286.23
C11860999 117 289.89
C11860999 118 292.47
C11860999 123 347.51
C11864379 84 278.47
C11864379 92 306.22
C11934327 79 348.22
C12006953 51 291.2
C12006953 55 289.67
C12006953 86 275.87
C12006953 103 769.19
C12006953 109 403.69
C12006953 117 273.08
C12092255 114 569.95
C12159389 54 270.42
C12159389 61 289.2
C12159389 89 245.68
C12159389 117 291.45
C12159389 127 461.05
C12159389 137 308.43
C12159579 18 268.72
C12159579 27 484.87
C12159579 30 265.05
C12159579 31 672.32
C12159579 63 317.34
C12159579 70 448.64
C12159579 72 282.57
C12159579 89 465.89
C12159579 107 2151.9
C12159579 118 267.21
C12159579 124 295.21
C12159579 145 270.54
C12301339 5 288.6
C12301339 44 262.54
C12301339 52 264.14
C12422307 65 1401.1
C12422307 68 344.46
C12422307 71 273.16
C12422307 73 273.62
C12422307 84 259.11
C12422307 88 845.59
C12422307 93 329.19
C12422307 95 260.23
C12422307 107 260.84
C12422307 110 274.52
C12422307 115 269.91
C12422307 116 283.56
C12422307 119 277.31
C12422307 120 352.26
C12425551 89 280.39
C12425551 94 275.22
C12439269 1 267.88
C12439269 6 309.16
C12439269 21 297.09
C12439269 22 734.55
C12439269 24 259.34
C12439269 26 281.64
C12439269 48 265.78
C12439269 65 310.5
C12439269 72 269.7
C12439269 84 290.24
C12439269 86 302.89
C12439269 101 901.91
C12439269 109 290.03
C12439269 112 287.89
C12439269 125 281.21
C12439269 138 497.99
C12439269 147 309.7
C12439269 151 807.03
C12439269 159 276.88
C12439269 160 267.25
C12439269 164 288.85
C12439269 170 279.47
C12439269 174 321.3
C12441753 65 280.34
C12441753 100 267.42
C12498095 68 339.38
C12498095 73 400.84
C12498095 87 495.2
C12498095 124 995.29
C12571287 39 324.65
C12571287 45 309.43
C12571287 61 280.2
C12578357 64 1527.3
C12578357 89 4427.2
C12578357 104 270.15
C12578357 113 278.11
C12578357 120 369.31
C12706077 12 330.84
C12706077 31 268.32
C12706077 35 269.26
C12706077 44 345.19
C12706077 59 281.6
C12706077 69 312.57
C12706077 116 6436.9
C12706077 125 1935.9
C12761845 14 357.07
C12761845 21 273.39
C12761845 23 279.17
C12761845 36 270.65
C12761845 50 620.63
C12761845 51 269.77
C12761845 62 391.55
C12761845 68 401.17
C12761845 87 275.76
C12761845 104 274.93
C12761845 116 269.99
C12761845 117 264.99
C12761845 121 6165.3
C12761845 143 278.07
C12764931 32 302.32
C12764931 51 275.82
C12764931 53 275.24
C12764931 60 777.5
C12764931 71 260.63
C12764931 84 1618.8
C12764931 91 265.52
C12764931 97 276.69
C12764931 108 278.93
C12764931 111 284.6
C12764931 113 292.35
C12764931 121 313.92
C12764931 131 367.6
C12764931 132 266.84
C12764931 143 333.46
C12835619 88 265.72
C12835619 89 516.11
C12836153 64 338.15
C12836153 72 396.03
C12836153 92 285.6
C12836153 98 280.37
C12836153 110 300.15
C12836153 112 297.96
C12836153 115 2542
C12836153 142 272.11
C12836153 148 958.39
C12836153 159 433.7
C12836153 162 318.31
C12838327 43 271.78
C12838327 56 267.26
C12838327 70 789.06
C12838327 89 994
C12838327 98 289.07
C12838327 99 378.87
C12838327 108 283.13
C12938187 29 1076.7
C12938187 31 296.34
C12938187 66 299.57
C12938187 80 328.99
C12938187 97 432.79
C12938187 103 310.45
C12938187 111 390.79
C12938187 125 326.37
C12938187 146 277.6
C12938187 158 296.35
C13016697 119 278.21
C13020315 28 356.89
C13020315 37 299.21
C13020315 45 281.34
C13020315 46 1524.5
C13020315 52 368.32
C13020315 58 331.78
C13020315 63 501.63
C13020315 74 321.41
C13020315 81 294.48
C13020315 82 1135.1
C13020315 83 722.49
C13020315 90 474.01
C13020315 92 413.74
C13020315 93 312.6
C13020315 96 335.43
C13020315 107 279.53
C13020315 112 992.77
C13020315 137 1054.6
C13086297 60 350.54
C13086297 61 332
C13086297 64 342.79
C13086297 73 277.53
C13086297 76 304.17
C13086297 80 277.46
C13086297 86 278.62
C13086297 103 352.71
C13086297 104 297.61
C13086297 108 869.24
C13091815 54 273.94
C13091815 73 325.97
C13091815 100 271.13
C13091815 103 350.84
C13091815 116 277.95
C13091815 123 333.46
C13091815 126 322.84
C13091815 133 323.2
C13091815 135 832.6
C13091815 148 264.08
C13091815 156 290.6
C13210357 13 960.61
C13210357 14 286.36
C13210357 31 305.16
C13210357 43 253.53
C13210357 61 268.78
C13210357 84 439.3
C13210357 110 1286.9
C13266663 116 467.03
C13266663 140 268.37
C13266663 150 298.98
C13324409 8 284.12
C13324409 9 305.25
C13324409 21 301.84
C13324409 31 250.75
C13324409 34 285.13
C13324409 63 283.53
C13324409 116 269.73
C13324409 126 270.15
C13324409 131 259.02
C13324409 132 5009.4
C13324409 133 279.67
C13324409 179 270.4
C13398431 54 265.03
C13398431 81 525.11
C13398431 88 323.36
C13398431 95 256.51
C13398431 102 412.89
C13398431 106 427.76
C13398431 129 298.33
C13406051 18 298.43
C13406051 66 269.59
C13406051 71 304.74
C13406051 86 284.69
C13406051 108 314.73
C13406051 142 280.52
C13406051 149 277.44
C13406051 152 267.78
C13406051 162 263.56
C13406051 170 271.3
C13413997 64 309.92
C13413997 97 290.36
C13413997 107 703.13
C13444805 24 342.98
C13444805 32 288.24
C13444805 37 326.81
C13444805 50 306.92
C13444805 52 280.64
C13444805 72 579.64
C13444805 79 704.77
C13444805 108 266.59
C13444805 127 291.32
C13444805 128 300.72
C13444805 131 543.2
C13444805 139 406.53
C13444805 141 277.74
C13444805 154 290.5
C13444805 157 281.99
C13444805 161 285.02
C13444805 166 305.4
C13624623_39_192 34 277.71
C13624623_39_192 42 282.99
C13624623_39_192 61 266.56
C13624623_39_192 65 279.23
C13624623_39_192 72 293.99
C13624623_39_192 76 268.71
C13624623_39_192 80 342.6
C13624623_39_192 83 903.6
C13624623_39_192 84 269.27
C13624623_39_192 90 416.42
C13624623_39_192 94 276.48
C13624623_39_192 117 282.1
C13683001 15 287.88
C13683001 20 267.55
C13683001 22 309.77
C13683001 23 250.83
C13683001 31 274.72
C13683001 56 406.95
C13683001 61 429.61
C13683001 72 462.63
C13683001 74 280.4
C13683001 77 374.79
C13683001 82 459.4
C13683001 96 323.32
C13683001 101 280.68
C13683001 112 272.36
C13683001 118 425.4
C13683001 128 297.19
C13684767 61 290.83
C13684767 104 432.47
C13684767 105 336.95
C13684767 110 282.71
C13684767 114 283.93
C13684767 125 316.26
C13684767 152 504.71
C13684767 163 258.55
C13689929 89 334.46
C13697711 8 294.44
C13697711 33 742.73
C13697711 68 269.58
C13697711 74 293.86
C13697711 152 288.17
C13697711 158 278.98
C13697711 178 256.38
C13742313 34 274.52
C13742313 49 1198.4
C13742313 50 292.94
C13742313 74 310.64
C13742313 81 262.67
C13742313 89 266.4
C13742313 94 367.02
C13742313 99 294.16
C13742313 101 422.4
C13742313 103 284.6
C13742313 121 263.68
C13742313 128 403.04
C13742313 134 264.44
C13742313 169 284.27
C13742313 179 490.52
C13742313 180 360.9
C13753461 77 265.6
C13753461 83 296.68
C13753461 86 265
C13753461 102 358.01
C13753461 104 263.18
C13753461 118 284.71
C13753461 155 864.54
C13792397 42 277.42
C13792397 59 306.77
C13792397 78 311.61
C13792397 79 1317.8
C13792397 92 275.38
C13792397 103 341.06
C13792397 115 326.46
C13792397 122 260.66
C13792397 125 692.87
C13792397 126 267.65
C13792397 144 324.09
C13792397 147 287.4
C13792397 149 296.15
C13792397 157 1715.9
C13792397 161 302.14
C13792631 43 434.76
C13792631 53 267.2
C13792631 95 298.98
C13792631 101 259.13
C13792631 106 264.16
C13792631 115 271.7
C13792631 121 268.77
C13792631 132 273.44
C13792631 137 504.12
C13792631 151 277.07
C13803771 31 306.09
C13803771 33 424.64
C13803771 36 291.42
C13803771 56 381.33
C13803771 58 278.85
C13803771 72 438.1
C13803771 93 333.91
C13803771 99 313.07
C13803771 105 422.11
C13803771 117 284.65
C13803771 120 510.62
C13803771 138 392.51
C13803771 139 346.06
C13803771 147 295.63
C13804743 130 285.59
C13804743 131 272.55
C13804743 132 306.1
C13804743 154 338.19
C13804743 172 309.98
C13851667 25 312.67
C13851667 63 290.23
C13851667 87 275.77
C13851667 96 301.78
C13851667 129 756.06
C13869143 26 438.86
C13869143 35 434.38
C13869143 45 502.53
C13869143 56 471.22
C13869143 59 759.55
C13872141 58 360.92
C13872141 75 330.71
C13872141 76 307.12
C13872141 85 446.92
C13872141 140 354.52
C13875113 116 321.71
C13875113 133 525.1
C13875113 150 357.12
C13888539 25 312.99
C13888539 39 282.42
C13888539 40 265.61
C13888539 45 291.88
C13888539 60 406.49
C13888539 61 289.53
C13888539 71 271.45
C13888539 72 293.7
C13888539 73 283.42
C13888539 80 391.46
C13888539 92 297.61
C13905663 86 368.21
C13905663 91 1210.6
C13905663 93 643.16
C13905663 101 322.41
C13905663 103 290.99
C13905663 112 389.1
C13905663 126 274.42
C13905663 130 316.49
C13905807 63 496.65
C13905807 68 381.54
C13905807 76 573.2
C13905807 94 311.14
C13905807 117 270.53
C13905807 119 271.81
C13905807 129 1140.2
C13905807 141 296.7
C13905807 144 263.73
C13905807 145 362.12
C13905807 152 724.8
C13905807 163 351.98
C13917567 112 316.61
C14018413 13 263.08
C14018413 16 320.25
C14018413 20 272.58
C14018413 22 262.86
C14018413 25 474.73
C14018413 39 1292.5
C14018413 42 709.49
C14018413 47 268.84
C14018413 49 326.71
C14018413 55 290.85
C14018413 73 280.31
C14018413 91 419
C14018413 99 381.08
C14018413 107 322.38
C14018413 109 1054.1
C14018413 110 331.89
C14018413 113 283.8
C14018413 130 331.01
C14018413 141 611.46
C14018413 144 391.22
C14018413 149 364.28
C14018413 157 272.31
C14018413 159 257.44
C14018413 161 280.74
C14018413 172 318.25
C14018413 174 300.64
C14018413 186 338.13
C14027307 22 277.37
C14027307 23 263.82
C14027307 31 266.67
C14027307 33 293.45
C14027307 34 299.61
C14027307 39 260.48
C14027307 40 323.96
C14027307 55 287.03
C14027307 56 628.43
C14027307 57 319.6
C14027307 58 349.07
C14027307 63 324.09
C14027307 69 306.21
C14027307 71 313.71
C14027307 107 299.42
C14027307 111 1087
C14027307 118 272.81
C14027307 128 297.95
C14027307 143 803.93
C14027307 145 277.65
C14027307 155 467.44
C14027307 158 270.23
C14131357 8 338.16
C14131357 9 267.85
C14131357 37 669.75
C14131357 84 482.46
C14131357 108 362.8
C14131357 148 325.98
C14131357 166 538.87
C14131357 179 365.34
C14131357 186 742.77
C14131357 189 277.54
C14137843 51 283.89
C14137843 83 2192.8
C14137843 124 354.35
C14137843 164 658.8
C14137843 173 276.99
C14154407 111 274.88
C14154407 119 1609.1
C14154407 144 303.5
C14154407 191 486.31
C14249885 124 301.5
C14362161 58 778.34
C14362161 61 1073
C14362161 67 296.22
C14362161 76 284.97
C14362161 83 292.21
C14362161 86 383.96
C14362161 97 886.72
C14362161 107 273.34
C14362161 109 307.6
C14362161 110 1005.2
C14362161 124 403.81
C14362161 129 350.22
C14362161 132 1122.8
C14463685 82 304.69
C14463685 88 716.43
C14463685 96 323.33
C14463685 99 285.86
C14463685 101 445.48
C14463685 106 333.24
C14463685 116 404.58
C14463685 126 332.19
C14463685 132 282.45
C14471693 62 315.12
C14471693 133 267.04
C14512305 85 329.03
C14512305 122 295.47
C14512305 179 368.87
C14513595 78 308.65
C14513595 84 286.66
C14513595 94 264.21
C14513595 103 271.78
C14514029 70 302.15
C14514029 86 575.68
C14514029 88 289.75
C14514029 100 275.87
C14514029 102 278.09
C14514029 105 801.21
C14514029 108 357.01
C14514029 112 359.79
C14514029 124 326.58
C14514029 127 274.42
C14514029 131 300.82
C14514029 132 650.89
C14575233 98 369.77
C14579123 64 297.29
C14579123 67 290.08
C14579123 74 1721.9
C14579123 79 277.54
C14579123 87 297.77
C14579123 92 431.89
C14579123 107 259.99
C14579123 110 282.88
C14579123 111 323.82
C14579123 114 401.57
C14579123 125 324.49
C14579123 126 279.11
C14579123 128 264.15
C14579123 139 277.38
C14579123 145 376.12
C14579123 160 621.05
C14579525 35 625
C14579525 52 455.08
C14579525 57 1077
C14579525 84 328.33
C14579525 86 272.45
C14579525 96 455.39
C14579525 101 462.28
C14579525 103 284.24
C14579525 121 283.25
C14579525 167 272.32
C14579525 168 284.36
C14580123 73 294.6
C14580123 87 2152.5
C14580123 142 300.82
C14580123 144 298
C14633107 8 277.9
C14633107 14 351.55
C14633107 19 3854
C14633107 21 300.8
C14633107 47 279.37
C14633107 74 284.05
C14633107 134 285.77
C14633107 175 604.59
C14660885 89 2675
C14660885 116 259.1
C14660885 135 263.44
C14660885 142 448.7
C14660885 159 274.32
C14660885 162 305.17
C14675417 29 274.47
C14675417 43 287.37
C14675417 58 298.56
C14675417 66 673.31
C14675417 75 309.2
C14675417 87 314.66
C14675417 103 272.26
C14675417 112 282.38
C14675417 124 270.34
C14675417 129 2463.8
C14675417 146 274.34
C14675417 160 269.33
C14679927 39 872.46
C14679927 44 267.43
C14679927 63 1205.6
C14679927 79 258.25
C14679927 145 286.23
C14679927 163 315.97
C14679927 164 350.87
C14679927 166 449.39
C14679927 173 535.27
C14682035 23 280.96
C14682035 31 280.69
C14682035 51 284.38
C14682035 71 393.79
C14682035 78 303.3
C14682035 79 263.73
C14682035 125 372.38
C14682035 129 279.49
C14682035 134 1538.7
C14683025 16 291.53
C14683025 18 282.55
C14683025 37 286.38
C14683025 39 1456.6
C14683025 46 300.54
C14683025 52 267.49
C14683025 55 592.93
C14683025 60 420.86
C14683025 63 318.07
C14683025 65 475.29
C14683025 77 1219.6
C14683025 83 347.34
C14683025 91 272.78
C14683025 92 287.26
C14683025 107 1282.3
C14683025 136 294.31
C14683025 139 297
C14683025 169 283.77
C14730805 74 314.58
C14730805 101 277.44
C14730805 102 243.88
C14730805 123 273.31
C14730805 175 268.97
C14780635 65 360.23
C14780635 68 548.24
C14780635 127 269.67
C14780635 148 284.39
C14789379 54 471.14
C14789379 61 309.07
C14789379 69 297.51
C14789379 85 280.59
C14789379 99 600.92
C14789379 102 287.77
C14789379 113 271.18
C14789379 114 371.27
C14789379 123 351.88
C14789379 124 295.18
C14789379 143 305.9
C14789379 147 261.2
C14789379 152 279.04
C14789379 158 321.73
C14789379 173 318.88
C14789379 177 288.88
C14831325 69 273.77
C14831325 92 740.93
C14831325 101 305.09
C14831325 176 266.17
C14831325 181 279.66
C14869519 71 426.28
C14869519 72 277.91
C14869519 78 279.38
C14869519 101 273.53
C14869519 121 282.27
C14883671 39 341.91
C14883671 41 288.73
C14883671 48 348.34
C14883671 64 433.8
C14883671 72 360.33
C14883671 78 271.41
C14883671 91 295.43
C14883671 100 286.65
C14883671 103 398.8
C14883671 115 382.08
C14883671 117 281.05
C14883671 119 277.08
C14883671 139 302.57
C14883671 141 286.76
C14883671 147 270.19
C14883671 153 266.82
C14883671 157 300.29
C14892005 19 264.54
C14892005 31 283.68
C14892005 35 385.22
C14892005 67 411.46
C14892005 86 292.24
C14892005 95 354.99
C14892005 106 273.65
C14892005 110 315.94
C14892005 143 432.04
C14892005 173 275.66
C14892005 182 357.24
C14942957 69 257.93
C14942957 73 311.61
C14942957 88 1327.6
C14942957 132 316.23
C14942957 134 309.71
C14972521 76 280.97
C14972521 77 319.06
C14996769 43 268.9
C14996769 46 293.8
C14996769 57 1175.2
C14996769 79 268.67
C14996769 83 687.74
C14996769 97 258.34
C14996769 121 278.23
C14996769 128 277.78
C14996769 132 291.34
C14996769 137 452.03
C14996769 145 293.81
C15037471 17 261.61
C15037471 18 279
C15037471 63 274.27
C15037471 79 316.1
C15037471 88 284.71
C15037471 97 372.29
C15037471 121 2933
C15037471 128 320.31
C15037471 147 274.91
C15037471 158 309.37
C15037471 162 294.89
C15037471 165 299.78
C15037471 195 287.4
C15186149 36 289.52
C15186149 46 269.08
C15186149 47 484.81
C15186149 48 279.49
C15186149 59 427.99
C15186149 60 311.46
C15186149 63 349.92
C15186149 65 754.22
C15186149 66 390.98
C15186149 77 298.96
C15186149 78 277.91
C15186149 84 284.48
C15186149 85 1741.8
C15186149 92 276.54
C15186149 104 617.49
C15186149 108 309.62
C15186149 127 314.57
C15186149 130 441.98
C15186149 132 402.23
C15186149 139 1167.7
C15186149 156 286.81
C15186149 168 296.7
C15186149 186 317.01
C15186149 191 311.33
C15186149 197 1734.4
C15188639 63 305.38
C15188639 73 768.6
C15188639 96 271.56
C15188639 120 311.63
C15188639 122 262.49
C15188639 136 282.34
C15188639 151 1084.5
C15188639 153 292.52
C15188639 155 378.83
C15198779 67 276.2
C15198779 101 318.34
C15199475 36 394.95
C15199475 37 270.55
C15199475 69 262.07
C15199475 77 275.47
C15199475 113 349.24
C15199475 118 253.55
C15199475 127 268.09
C15199475 169 459.38
C15293699 48 282.83
C15293699 64 305.72
C15293699 76 293.43
C15293699 82 1046
C15293699 86 305.46
C15293699 94 398.04
C15293699 118 262.21
C15293699 132 343.98
C15293699 134 282.8
C15293699 140 282.59
C15293699 146 269.15
C15293699 162 299.12
C15357039 65 291.71
C15357039 74 597.76
C15357039 103 338.38
C15357039 104 280.57
C15357039 121 350.69
C15357039 130 1122.6
C15357039 134 523.83
C15357039 144 391.51
C15357039 158 747.6
C15357039 173 312.27
C15357039 174 385.56
C15357039 175 298.26
C15381445 42 279.41
C15381445 61 299.94
C15381445 74 300.98
C15381445 90 297.16
C15381445 104 267.93
C15381445 112 951.47
C15381445 143 1180.6
C15381445 145 280.84
C15381445 182 373.51
C15381445 188 269.21
C15381445 191 292.08
C15381445 192 295.22
C15381445 195 739.75
C15381531 15 277.04
C15381531 19 276.76
C15381531 32 319.59
C15381531 61 1790.2
C15381531 74 474.91
C15381531 82 837.56
C15381531 85 338.48
C15381531 99 2038.6
C15381531 123 360.69
C15381531 151 709.55
C15381531 164 283.82
C15381531 185 1276.3
C15381531 186 936.69
C15382035 39 541.03
C15382035 52 282.03
C15382035 54 261.9
C15382035 95 292.75
C15382035 104 316.45
C15382035 141 291.15
C15382035 150 326.94
C15382035 154 481.77
C15430917 125 303.13
C15430917 134 271.2
C15430917 137 374.19
C15430917 176 418.78
C15454267 56 301.16
C15454267 66 279.04
C15454267 93 273.03
C15454267 100 533.55
C15454267 101 275.65
C15454267 113 398.5
C15454267 131 365.28
C15454267 141 278.71
C15477557 78 291.89
C15477557 91 270.35
C15477557 122 465.61
C15558411 85 273.59
C15558411 87 288.57
C15558411 89 282.19
C15558411 92 293.1
C15558411 105 322.26
C15558411 115 451.42
C15558411 149 272.21
C15558411 152 273.64
C15558411 154 403.6
C15560939 12 298.62
C15560939 20 849.48
C15560939 34 1225.4
C15560939 43 265.65
C15560939 84 462.33
C15560939 101 247.53
C15560939 103 303.2
C15560939 105 285.54
C15560939 109 844.51
C15560939 110 336.31
C15560939 125 1263.4
C15560939 135 273.09
C15560939 167 1870.7
C15560939 185 294
C15560939 200 280.11
C15561247 131 409.6
C15561597 16 252.03
C15561597 19 287.34
C15561597 27 379.75
C15561597 40 413.05
C15561597 72 273.68
C15561597 77 283.15
C15561597 78 282.01
C15561597 86 294.53
C15561597 97 253.22
C15561597 102 589.2
C15561597 118 268.64
C15561597 141 1193.8
C15561597 178 308.4
C15564745 18 1595.1
C15564745 21 264.72
C15564745 52 283.13
C15564745 92 601.94
C15564745 95 520.48
C15564745 103 300.65
C15564745 106 1068.6
C15564745 107 1050.2
C15564745 111 295.24
C15564745 113 298.41
C15564745 115 494.42
C15564745 116 294.2
C15564745 138 1223.2
C15564745 163 273.48
C15564745 169 281.34
C15564745 176 277.32
C15564745 203 276.48
C15615683 16 325.39
C15615683 53 298.45
C15615683 63 352.56
C15615683 86 1342.4
C15615683 89 1083.8
C15615683 125 266.4
C15615683 168 271.52
C15615683 173 302.92
C15615683 197 294.41
C15648499 34 277.8
C15648499 49 289.85
C15648499 62 285.73
C15648499 70 280.28
C15648499 78 283.95
C15648499 90 277.85
C15648499 101 299.67
C15648499 126 435.89
C15648499 142 674.54
C15648499 148 275.21
C15648499 153 675.9
C15648499 154 683.45
C15648499 162 321.86
C15648499 201 268.19
C15650531 74 303.72
C15650531 88 428.56
C15650531 99 287.33
C15650531 102 283.45
C15650531 113 344.04
C15650531 119 298.82
C15650531 133 288.57
C15654343 20 305
C15654343 42 338.71
C15654343 62 968.16
C15654343 65 991.32
C15654343 73 291.75
C15654343 79 273.84
C15654343 99 365.63
C15654343 135 1017.8
C15654343 143 276.83
C15654343 158 426.11
C15654343 179 292.37
C15658559 65 315.7
C15658559 179 292.93
C15658559 203 449.75
C15664377 80 297.95
C15664377 110 285.28
C15664377 161 275.11
C15664377 180 313.98
C15664377 203 285.91
C15693009 37 301.24
C15693009 50 271.71
C15693009 58 265.22
C15693009 69 272.93
C15693009 145 305.88
C15693009 163 326.91
C15717543 27 270.59
C15717543 54 273.37
C15717543 62 363.44
C15717543 97 273.1
C15717543 139 286.9
C15717543 141 301.5
C15717543 147 460.42
C15717543 154 325.88
C15717543 180 294.15
C15745835 59 266.08
C15745835 84 277.3
C15745835 103 309.82
C15745835 104 293.45
C15745835 125 616.39
C15745835 128 512.98
C15745835 133 525.51
C15745835 147 489.22
C15745835 173 264.42
C15745835 175 316.12
C15745835 179 282.53
C15791373 50 331.92
C15791373 64 288.59
C15791373 66 327.69
C15791373 75 501.36
C15791373 89 343.98
C15791373 93 305.43
C15791373 99 281
C15791373 115 287.46
C15791373 117 268.98
C15819211 28 270.06
C15819211 95 657.84
C15819211 109 1150.8
C15819211 134 280.7
C15819211 137 1503.6
C15819211 144 330.06
C15819211 170 276.41
C15886725 18 751.01
C15886725 20 330.52
C15886725 22 258.23
C15886725 33 435.74
C15886725 38 286.54
C15886725 42 267.59
C15886725 64 279.3
C15886725 67 575.82
C15886725 70 286.4
C15886725 79 353.41
C15886725 89 286.44
C15886725 90 286.92
C15886725 97 283.77
C15886725 98 286.07
C15886725 99 508.7
C15886725 103 795.09
C15886725 106 274.53
C15886725 108 679.9
C15886725 112 292.36
C15886725 117 282.09
C15886725 130 267.19
C15886725 144 291.52
C15886725 148 274.52
C15886725 157 297.29
C15886725 163 318.04
C15886725 170 257.45
C15886725 183 646.55
C15886725 197 310.2
C15886725 198 315.67
C15886725 200 357.2
C15886725 208 641.13
C15903497 78 298.14
C15903497 90 279.21
C15903497 125 284.13
C15903497 172 271.96
C15903497 180 329.93
C15903497 185 464.69
C15903497 187 278.83
C15903497 211 334.47
C16004813 23 273.49
C16004813 29 305.64
C16004813 67 307.24
C16004813 120 303.87
C16004813 134 363.28
C16004813 136 322.54
C16004813 149 278.28
C16004813 174 305.61
C16004813 187 310.95
C16029965 23 333.83
C16029965 67 286.86
C16029965 74 409.43
C16029965 141 1349.2
C16029965 145 303.25
C16029965 147 268.26
C16029965 150 316.59
C16029965 175 540.72
C16039029 24 4105.6
C16039029 29 269.56
C16039029 31 274.39
C16039029 42 426.91
C16039029 62 278.87
C16039029 68 276.57
C16039029 92 279.37
C16039029 96 256.89
C16039029 114 352.24
C16039029 126 637.67
C16039029 132 272.61
C16039029 136 318.48
C16039029 143 269.24
C16039029 187 263.11
C16039029 190 289.96
C16046009 83 278.26
C16046009 101 300.08
C16046009 104 277.7
C16046009 111 272.43
C16046009 113 345.01
C16046009 117 313.26
C16046009 119 333.04
C16046009 120 268.14
C16046009 137 275.98
C16046009 150 290.83
C16069405 107 312.61
C16072015 96 251.73
C16072015 124 265.17
C16072015 156 282.2
C16072015 166 299.32
C16072015 179 267.77
